state,district,candidate,pct,candidate_delegates
Iowa,At-large,biden,0.1582,6
Iowa,At-large,buttigieg,0.2628,14
Iowa,At-large,klobuchar,0.1219,1
Iowa,At-large,sanders,0.2611,12
Iowa,At-large,steyer,0.0032,0
Iowa,At-large,warren,0.182,8
Iowa,At-large,yang,0.0103,0
New Hampshire,At-large,biden,0.08401602,0
New Hampshire,At-large,buttigieg,0.244273857,9
New Hampshire,At-large,klobuchar,0.198218608,6
New Hampshire,At-large,sanders,0.257310651,9
New Hampshire,At-large,steyer,0.036163872,0
New Hampshire,At-large,warren,0.092329632,0
New Hampshire,At-large,yang,0.02803231,0
Nevada,At-large,biden,0.1786,9
Nevada,At-large,buttigieg,0.1517,3
Nevada,At-large,klobuchar,0.0925,0
Nevada,At-large,sanders,0.3426,24
Nevada,At-large,steyer,0.0912,0
Nevada,At-large,warren,0.1276,0
Nevada,At-large,yang,0.0001,0
South Carolina,At-large,biden,0.4846,39
South Carolina,At-large,buttigieg,0.0823,0
South Carolina,At-large,klobuchar,0.0314,0
South Carolina,At-large,sanders,0.1991,15
South Carolina,At-large,steyer,0.1134,0
South Carolina,At-large,warren,0.0706,0
South Carolina,At-large,yang,0.002,0
Alabama,At-large,biden,0.6326,44
Alabama,At-large,bloomberg,0.1168,0
Alabama,At-large,buttigieg,0.0031,0
Alabama,At-large,klobuchar,0.002,0
Alabama,At-large,sanders,0.1654,8
Alabama,At-large,steyer,0.0023,0
Alabama,At-large,warren,0.0572,0
Alabama,At-large,yang,0.0019,0
Arkansas,At-large,biden,0.4049,17
Arkansas,At-large,bloomberg,0.1673,5
Arkansas,At-large,buttigieg,0.0336,0
Arkansas,At-large,klobuchar,0.0308,0
Arkansas,At-large,sanders,0.2238,9
Arkansas,At-large,steyer,0.0091,0
Arkansas,At-large,warren,0.1001,0
Arkansas,At-large,yang,0.0032,0
American Samoa,At-large,biden,0.0883,0
American Samoa,At-large,bloomberg,0.4986,4
American Samoa,At-large,buttigieg,0.0001,0
American Samoa,At-large,klobuchar,0.0001,0
American Samoa,At-large,sanders,0.1054,0
American Samoa,At-large,steyer,0.0001,0
American Samoa,At-large,warren,0.0142,0
American Samoa,At-large,yang,0.0001,0
American Samoa,At-large,gabbard,0.2934,2
California,At-large,biden,0.2657,169
California,At-large,bloomberg,0.1336,16
California,At-large,buttigieg,0.054,0
California,At-large,klobuchar,0.0273,0
California,At-large,sanders,0.3391,221
California,At-large,steyer,0.0234,0
California,At-large,warren,0.1303,9
California,At-large,yang,0.0087,0
Colorado,At-large,biden,0.2356,17
